archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,10369,10518,5,0,33699,39,0
Regular,5,8666,7907,5,0,28163,60,0
Hardcore,5,4092,2082,5,0,13299,21,0
Hoarder,5,7065,6754,5,0,22961,69,0
"Early Locker",5,8835,10435,5,0,28714,55,0
"Late Deployer",5,10316,9724,5,0,33525,43,0
Boost-Focused,5,5201,2031,5,0,16905,6,0
Star-Focused,5,12093,15973,5,0,39300,63,0
"Aggressive Sigil User",5,7629,5303,5,0,24793,24,0
"Mostly Idle",5,9668,11378,5,0,31421,38,0
